Speaker: Simeon
  Tier Type: po, Annotations Count: 310
    Time Stamp: ("'ts2043'", "'ts2044'"), Annotation: maypi turistacuna puñuna yachan
    Time Stamp: ("'ts2045'", "'ts2046'"), Annotation: kimirina yachan mmm
    Time Stamp: ("'ts2047'", "'ts2048'"), Annotation: mikunata maskangapa
    Time Stamp: ("'ts2049'", "'ts2050'"), Annotation: porqui gindikuna ña karana yachan payman
    Time Stamp: ("'ts2052'", "'ts2054'"), Annotation: ña vivu tukushka ña kimirinlla
    Time Stamp: ("'ts2055'", "'ts2056'"), Annotation: (asin)
    Time Stamp: ("'ts2057'", "'ts2058'"), Annotation: rrikurkani pero uchilla kashka
    Time Stamp: ("'ts2059'", "'ts2060'"), Annotation: na, talvez joven
    Time Stamp: ("'ts2061'", "'ts2062'"), Annotation: kashka mana
    Time Stamp: ("'ts2063'", "'ts2065'"), Annotation: mana rruku kashka
    Time Stamp: ("'ts2069'", "'ts2070'"), Annotation: chay chaupi urku  chaupipi tian
    Time Stamp: ("'ts2071'", "'ts2072'"), Annotation: shug guasigu
    Time Stamp: ("'ts2073'", "'ts2074'"), Annotation: ari, shug yaku tian shug cocha
    Time Stamp: ("'ts2077'", "'ts2079'"), Annotation: ari
    Time Stamp: ("'ts2081'", "'ts2082'"), Annotation: cierto
    Time Stamp: ("'ts2084'", "'ts2086'"), Annotation: chiri nachu
    Time Stamp: ("'ts2096'", "'ts2098'"), Annotation: haaa
    Time Stamp: ("'ts2099'", "'ts2100'"), Annotation: kunug yakuma yaykurka
    Time Stamp: ("'ts2101'", "'ts2102'"), Annotation: chayta ningi
    Time Stamp: ("'ts2105'", "'ts2106'"), Annotation: ñuka nini
    Time Stamp: ("'ts2107'", "'ts2108'"), Annotation: casi chaupi
    Time Stamp: ("'ts2109'", "'ts2110'"), Annotation: urku chaupipi
    Time Stamp: ("'ts2111'", "'ts2112'"), Annotation: maypi chay guasi tian
    Time Stamp: ("'ts2113'", "'ts2114'"), Annotation: refugio nishka
    Time Stamp: ("'ts2118'", "'ts2120'"), Annotation: chayka shug cocha tian
    Time Stamp: ("'ts2121'", "'ts2122'"), Annotation: pero chirikan
    Time Stamp: ("'ts2123'", "'ts2124'"), Annotation: pero na solo uyargani chay
    Time Stamp: ("'ts2125'", "'ts2126'"), Annotation: kunu yakumanta
    Time Stamp: ("'ts2127'", "'ts2128'"), Annotation: mana rishkanichu
    Time Stamp: ("'ts2130'", "'ts2131'"), Annotation: None
    Time Stamp: ("'ts2133'", "'ts2134'"), Annotation: carupi rrina ooo chakilla
    Time Stamp: ("'ts2145'", "'ts2146'"), Annotation: chayka
    Time Stamp: ("'ts2149'", "'ts2150'"), Annotation: nachu chay
    Time Stamp: ("'ts2151'", "'ts2152'"), Annotation: pasto kay chayladupichu can o maypi kan
    Time Stamp: ("'ts2153'", "'ts2154'"), Annotation: chay kunu yaku
    Time Stamp: ("'ts2167'", "'ts2168'"), Annotation: ari, ari
    Time Stamp: ("'ts2171'", "'ts2172'"), Annotation: rigsinayanmi
    Time Stamp: ("'ts2173'", "'ts2174'"), Annotation: y chayshu kaypikaaaa
    Time Stamp: ("'ts2175'", "'ts2176'"), Annotation: ima ashtaguan animalkuna purina yachan
    Time Stamp: ("'ts2177'", "'ts2178'"), Annotation: atug
    Time Stamp: ("'ts2183'", "'ts2184'"), Annotation: lobo, ari
    Time Stamp: ("'ts2188'", "'ts2190'"), Annotation: kunupash
    Time Stamp: ("'ts2191'", "'ts2192'"), Annotation: tianga nacha
    Time Stamp: ("'ts2195'", "'ts2196'"), Annotation: kunupash tianga
    Time Stamp: ("'ts2201'", "'ts2202'"), Annotation: ari
    Time Stamp: ("'ts2207'", "'ts2208'"), Annotation: chaypikaaa
    Time Stamp: ("'ts2209'", "'ts2210'"), Annotation: kurikingui
    Time Stamp: ("'ts2218'", "'ts2220'"), Annotation: anga
    Time Stamp: ("'ts2247'", "'ts2248'"), Annotation: claro
    Time Stamp: ("'ts2257'", "'ts2258'"), Annotation: cierto
    Time Stamp: ("'ts2263'", "'ts2265'"), Annotation: asin
    Time Stamp: ("'ts2267'", "'ts2268'"), Annotation: shina rrircalla
    Time Stamp: ("'ts2271'", "'ts2272'"), Annotation: mmmm
    Time Stamp: ("'ts2274'", "'ts2276'"), Annotation: kurikingipa
    Time Stamp: ("'ts2277'", "'ts2278'"), Annotation: chaypikaaaaaa
    Time Stamp: ("'ts2279'", "'ts2280'"), Annotation: imataaaa, imata nin kurikingimanta
    Time Stamp: ("'ts2281'", "'ts2282'"), Annotation: imata
    Time Stamp: ("'ts2283'", "'ts2284'"), Annotation: shina
    Time Stamp: ("'ts2288'", "'ts2291'"), Annotation: chaypi
    Time Stamp: ("'ts2295'", "'ts2296'"), Annotation: mmmm, kuykata
    Time Stamp: ("'ts2301'", "'ts2302'"), Annotation: cierrto
    Time Stamp: ("'ts2305'", "'ts2306'"), Annotation: condorkuna shina llulluu
    Time Stamp: ("'ts2307'", "'ts2309'"), Annotation: llama, guagra guañuchina yachannin
    Time Stamp: ("'ts2324'", "'ts2326'"), Annotation: cierrto
    Time Stamp: ("'ts2329'", "'ts2330'"), Annotation: na rrikurin mashna guatata na rrikurinllu
    Time Stamp: ("'ts2333'", "'ts2334'"), Annotation: unay
    Time Stamp: ("'ts2337'", "'ts2339'"), Annotation: haaaaa
    Time Stamp: ("'ts2368'", "'ts2370'"), Annotation: chaykaman ñan tianchu
    Time Stamp: ("'ts2372'", "'ts2375'"), Annotation: manllari
    Time Stamp: ("'ts2381'", "'ts2382'"), Annotation: ya ya
    Time Stamp: ("'ts2383'", "'ts2384'"), Annotation: ñuka yaypica ñala ashalla kayta tucuchishpa
    Time Stamp: ("'ts2385'", "'ts2386'"), Annotation: purishun chayman camaraguan filmashpa
    Time Stamp: ("'ts2388'", "'ts2390'"), Annotation: shina
    Time Stamp: ("'ts2473'", "'ts2476'"), Annotation: are
    Time Stamp: ("'ts2477'", "'ts2479'"), Annotation: chay horas
    Time Stamp: ("'ts2480'", "'ts2482'"), Annotation: pero makarka shina
    Time Stamp: ("'ts2488'", "'ts2491'"), Annotation: chaymi tunirishga
    Time Stamp: ("'ts2640'", "'ts2642'"), Annotation: chaymanra rishun Rumi saltuta ricushpa
    Time Stamp: ("'ts2643'", "'ts2645'"), Annotation: tigramushun
    Time Stamp: ("'ts2646'", "'ts2648'"), Annotation: nachu ashashapa purishun ya
    Time Stamp: ("'ts2651'", "'ts2652'"), Annotation: ari
    Time Stamp: ("'ts2653'", "'ts2654'"), Annotation: jahuaca jahua
    Time Stamp: ("'ts2656'", "'ts2658'"), Annotation: jahuaman ripi
    Time Stamp: ("'ts2659'", "'ts2660'"), Annotation: shina parlashpa
    Time Stamp: ("'ts2666'", "'ts2669'"), Annotation: ari, ari
    Time Stamp: ("'ts2672'", "'ts2675'"), Annotation: ñuka katisha
    Time Stamp: ("'ts2685'", "'ts2687'"), Annotation: ya
    Time Stamp: ("'ts2695'", "'ts2696'"), Annotation: ari
    Time Stamp: ("'ts2700'", "'ts2702'"), Annotation: ñuka katisha firmashpa
    Time Stamp: ("'ts2703'", "'ts2704'"), Annotation: kinkuna
    Time Stamp: ("'ts2713'", "'ts2714'"), Annotation: (asin)
    Time Stamp: ("'ts2717'", "'ts2719'"), Annotation: kikinbash ringichu Elsa
    Time Stamp: ("'ts2720'", "'ts2722'"), Annotation: jaguaman
    Time Stamp: ("'ts2723'", "'ts2724'"), Annotation: chuta kayta
    Time Stamp: ("'ts2725'", "'ts2726'"), Annotation: kayta apayta
    Time Stamp: ("'ts2731'", "'ts2732'"), Annotation: ha cierto
    Time Stamp: ("'ts2734'", "'ts2736'"), Annotation: ha ya ya
    Time Stamp: ("'ts2739'", "'ts2740'"), Annotation: chaypi sakishun chaykunata
    Time Stamp: ("'ts2747'", "'ts2748'"), Annotation: ha ya
    Time Stamp: ("'ts2757'", "'ts2758'"), Annotation: ari
    Time Stamp: ("'ts2764'", "'ts2766'"), Annotation: jaku
    Time Stamp: ("'ts2767'", "'ts2769'"), Annotation: asin
    Time Stamp: ("'ts2770'", "'ts2772'"), Annotation: jaku ñuka catisha
    Time Stamp: ("'ts2794'", "'ts2795'"), Annotation: chay
    Time Stamp: ("'ts2797'", "'ts2798'"), Annotation: cierto
    Time Stamp: ("'ts2835'", "'ts2836'"), Annotation: asin
    Time Stamp: ("'ts2844'", "'ts2847'"), Annotation: cierto
    Time Stamp: ("'ts2856'", "'ts2857'"), Annotation: cierdo
    Time Stamp: ("'ts2862'", "'ts2864'"), Annotation: pero ima tukurka machachirca
    Time Stamp: ("'ts2909'", "'ts2910'"), Annotation: ya
    Time Stamp: ("'ts2911'", "'ts2912'"), Annotation: casi paktasha paktasha
    Time Stamp: ("'ts2923'", "'ts2925'"), Annotation: (asin)
    Time Stamp: ("'ts2931'", "'ts2933'"), Annotation: cierdo
    Time Stamp: ("'ts2935'", "'ts2936'"), Annotation: are
    Time Stamp: ("'ts2957'", "'ts2958'"), Annotation: yura jahuapi parlasha
    Time Stamp: ("'ts2961'", "'ts2963'"), Annotation: kay igual, cero ñanda rrikunchingapa
    Time Stamp: ("'ts3025'", "'ts3026'"), Annotation: ari, ari
    Time Stamp: ("'ts3027'", "'ts3028'"), Annotation: shinllichu kan
    Time Stamp: ("'ts3032'", "'ts3035'"), Annotation: ama urmangichu
    Time Stamp: ("'ts3037'", "'ts3038'"), Annotation: mayman rringi Alejandra
    Time Stamp: ("'ts3041'", "'ts3042'"), Annotation: urkuta rringi jaku
    Time Stamp: ("'ts3117'", "'ts3118'"), Annotation: (.................)
    Time Stamp: ("'ts3120'", "'ts3122'"), Annotation: Ginaaaaaaaaa
    Time Stamp: ("'ts3123'", "'ts3124'"), Annotation: (asi)
    Time Stamp: ("'ts3127'", "'ts3128'"), Annotation: ari, ña rigsishpaga ña apamushalla
    Time Stamp: ("'ts3131'", "'ts3132'"), Annotation: ari
    Time Stamp: ("'ts3133'", "'ts3136'"), Annotation: alimi kashka
    Time Stamp: ("'ts3143'", "'ts3144'"), Annotation: ari
    Time Stamp: ("'ts3147'", "'ts3148'"), Annotation: ari, purinimi
    Time Stamp: ("'ts3157'", "'ts3159'"), Annotation: shayjunchira
    Time Stamp: ("'ts3161'", "'ts3163'"), Annotation: ha ya
    Time Stamp: ("'ts3166'", "'ts3168'"), Annotation: ya
    Time Stamp: ("'ts3169'", "'ts3170'"), Annotation: (shayjushga)
    Time Stamp: ("'ts3181'", "'ts3182'"), Annotation: ha chaypi rumikuna
    Time Stamp: ("'ts3185'", "'ts3186'"), Annotation: haya
    Time Stamp: ("'ts3197'", "'ts3198'"), Annotation: (asin)
    Time Stamp: ("'ts3201'", "'ts3202'"), Annotation: ha
    Time Stamp: ("'ts3217'", "'ts3218'"), Annotation: rricupa  tayta rricunga
    Time Stamp: ("'ts3221'", "'ts3222'"), Annotation: ari
    Time Stamp: ("'ts3227'", "'ts3228'"), Annotation: ari
    Time Stamp: ("'ts3233'", "'ts3234'"), Annotation: ari
    Time Stamp: ("'ts3239'", "'ts3240'"), Annotation: tutamanda shamushpa
    Time Stamp: ("'ts3255'", "'ts3258'"), Annotation: ima tian chaypi
    Time Stamp: ("'ts3279'", "'ts3280'"), Annotation: ya
    Time Stamp: ("'ts3283'", "'ts3284'"), Annotation: carpakunaguan
    Time Stamp: ("'ts3287'", "'ts3290'"), Annotation: tulpata rrurrashpa
    Time Stamp: ("'ts3293'", "'ts3294'"), Annotation: kay viaje mana pero
    Time Stamp: ("'ts3295'", "'ts3296'"), Annotation: shug viajepa
    Time Stamp: ("'ts3297'", "'ts3298'"), Annotation: apamusha
    Time Stamp: ("'ts3299'", "'ts3300'"), Annotation: nachu tsiri canga tuta
    Time Stamp: ("'ts3317'", "'ts3318'"), Annotation: cierrto
    Time Stamp: ("'ts3324'", "'ts3326'"), Annotation: imaura shamunga chay tiempu
    Time Stamp: ("'ts3328'", "'ts3330'"), Annotation: japina kangui
    Time Stamp: ("'ts3373'", "'ts3375'"), Annotation: ari
    Time Stamp: ("'ts3384'", "'ts3386'"), Annotation: ha ya
    Time Stamp: ("'ts3585'", "'ts3587'"), Annotation: chaypi mayurkuna
    Time Stamp: ("'ts3588'", "'ts3590'"), Annotation: shina rrumikunapi razana yacharkachu
    Time Stamp: ("'ts3591'", "'ts3592'"), Annotation: oh na
    Time Stamp: ("'ts3593'", "'ts3594'"), Annotation: kunuchu
    Time Stamp: ("'ts3629'", "'ts3630'"), Annotation: asi
    Time Stamp: ("'ts3633'", "'ts3634'"), Annotation: ha ya
    Time Stamp: ("'ts3638'", "'ts3640'"), Annotation: kimsandin
    Time Stamp: ("'ts3642'", "'ts3644'"), Annotation: nachu shugshingichi
    Time Stamp: ("'ts3651'", "'ts3652'"), Annotation: fotota japirini
    Time Stamp: ("'ts3653'", "'ts3654'"), Annotation: kayta
    Time Stamp: ("'ts3655'", "'ts3656'"), Annotation: eso
    Time Stamp: ("'ts3657'", "'ts3658'"), Annotation: una dos
    Time Stamp: ("'ts3659'", "'ts3660'"), Annotation: Alejandra
    Time Stamp: ("'ts3661'", "'ts3662'"), Annotation: asin
    Time Stamp: ("'ts3669'", "'ts3670'"), Annotation: aaaah
    Time Stamp: ("'ts3694'", "'ts3696'"), Annotation: asin
    Time Stamp: ("'ts3701'", "'ts3704'"), Annotation: None
    Time Stamp: ("'ts3759'", "'ts3761'"), Annotation: ciesto
    Time Stamp: ("'ts3791'", "'ts3794'"), Annotation: ari
    Time Stamp: ("'ts3835'", "'ts3837'"), Annotation: ha
    Time Stamp: ("'ts3839'", "'ts3840'"), Annotation: nachu chay chimbapi tian chay yucsi
    Time Stamp: ("'ts3841'", "'ts3842'"), Annotation: imashuti karka yucsi
    Time Stamp: ("'ts3844'", "'ts3846'"), Annotation: yucsi monduna
    Time Stamp: ("'ts3850'", "'ts3852'"), Annotation: chimbapi rigsirkani
    Time Stamp: ("'ts3984'", "'ts3986'"), Annotation: imati can
    Time Stamp: ("'ts3991'", "'ts3992'"), Annotation: ari
    Time Stamp: ("'ts4016'", "'ts4018'"), Annotation: aaah
    Time Stamp: ("'ts4019'", "'ts4020'"), Annotation: cierto
    Time Stamp: ("'ts4039'", "'ts4040'"), Annotation: y shukunaman
    Time Stamp: ("'ts4041'", "'ts4042'"), Annotation: shina malta rrurashpa
    Time Stamp: ("'ts4043'", "'ts4044'"), Annotation: guañuchun oh
    Time Stamp: ("'ts4045'", "'ts4047'"), Annotation: oh llakitukuchun
    Time Stamp: ("'ts4048'", "'ts4050'"), Annotation: chaykuna
    Time Stamp: ("'ts4060'", "'ts4062'"), Annotation: ari
    Time Stamp: ("'ts4070'", "'ts4072'"), Annotation: asinakun
    Time Stamp: ("'ts4083'", "'ts4084'"), Annotation: kaypipish puñungapa
    Time Stamp: ("'ts4085'", "'ts4087'"), Annotation: valingacha
    Time Stamp: ("'ts4091'", "'ts4092'"), Annotation: carpata churash
    Time Stamp: ("'ts4093'", "'ts4095'"), Annotation: None
    Time Stamp: ("'ts4132'", "'ts4134'"), Annotation: pero
    Time Stamp: ("'ts4176'", "'ts4177'"), Annotation: oko
    Time Stamp: ("'ts4178'", "'ts4180'"), Annotation: comunapachu
    Time Stamp: ("'ts4205'", "'ts4207'"), Annotation: ya
    Time Stamp: ("'ts4211'", "'ts4212'"), Annotation: haaaa
    Time Stamp: ("'ts4257'", "'ts4258'"), Annotation: asi
    Time Stamp: ("'ts4259'", "'ts4260'"), Annotation: nima nima
    Time Stamp: ("'ts4292'", "'ts4295'"), Annotation: wichikaman shugshina kanchi
    Time Stamp: ("'ts4297'", "'ts4299'"), Annotation: jaa puntacaman shugshina canchig nachu
    Time Stamp: ("'ts4309'", "'ts4310'"), Annotation: ya
    Time Stamp: ("'ts4312'", "'ts4314'"), Annotation: ari
    Time Stamp: ("'ts4321'", "'ts4322'"), Annotation: ah bueno
    Time Stamp: ("'ts4325'", "'ts4326'"), Annotation: ñuka llugshisha
    Time Stamp: ("'ts4328'", "'ts4330'"), Annotation: ñuka mana nima na shugshinichu
    Time Stamp: ("'ts4333'", "'ts4334'"), Annotation: ya kunan shugshisha
    Time Stamp: ("'ts4337'", "'ts4338'"), Annotation: urkuta
    Time Stamp: ("'ts4340'", "'ts4341'"), Annotation: shinashpa
    Time Stamp: ("'ts4345'", "'ts4347'"), Annotation: None
    Time Stamp: ("'ts4350'", "'ts4352'"), Annotation: shinlli, shinlli
    Time Stamp: ("'ts4357'", "'ts4358'"), Annotation: chay uchillagu
    Time Stamp: ("'ts4359'", "'ts4360'"), Annotation: urapi nirkangi
    Time Stamp: ("'ts4363'", "'ts4364'"), Annotation: maypi
    Time Stamp: ("'ts4384'", "'ts4385'"), Annotation: asi
    Time Stamp: ("'ts4387'", "'ts4388'"), Annotation: urmagpika
    Time Stamp: ("'ts4389'", "'ts4390'"), Annotation: llukshinga camarapi
    Time Stamp: ("'ts4392'", "'ts4394'"), Annotation: gindikuna ricuchun internepi
    Time Stamp: ("'ts4398'", "'ts4400'"), Annotation: chayta
    Time Stamp: ("'ts4401'", "'ts4402'"), Annotation: bueno
    Time Stamp: ("'ts4403'", "'ts4404'"), Annotation: aver apamuy
    Time Stamp: ("'ts4405'", "'ts4406'"), Annotation: chayta
    Time Stamp: ("'ts4407'", "'ts4410'"), Annotation: tukuy vistata firmangapa chaypi guañuchisha
    Time Stamp: ("'ts4417'", "'ts4419'"), Annotation: may sumag chay jahua
    Time Stamp: ("'ts4422'", "'ts4424'"), Annotation: kay jagua Wingupanakaman
    Time Stamp: ("'ts4429'", "'ts4430'"), Annotation: chayamushkanche
    Time Stamp: ("'ts4433'", "'ts4435'"), Annotation: kay tukuy
    Time Stamp: ("'ts4436'", "'ts4438'"), Annotation: guarmikuna sakishka chaypi
    Time Stamp: ("'ts4439'", "'ts4440'"), Annotation: shaycurkanchinina
    Time Stamp: ("'ts4443'", "'ts4444'"), Annotation: tukuy kay vistata
    Time Stamp: ("'ts4445'", "'ts4446'"), Annotation: ricurin
    Time Stamp: ("'ts4447'", "'ts4449'"), Annotation: kaymanda
    Time Stamp: ("'ts4459'", "'ts4461'"), Annotation: ja, ja
    Time Stamp: ("'ts4462'", "'ts4464'"), Annotation: ari, jahua, ura uracaman ...
    Time Stamp: ("'ts4465'", "'ts4467'"), Annotation: None
    Time Stamp: ("'ts4469'", "'ts4470'"), Annotation: manllani manllani
    Time Stamp: ("'ts4475'", "'ts4477'"), Annotation: pero chaibi
    Time Stamp: ("'ts4478'", "'ts4480'"), Annotation: ari chaypima guañuchisha porque
    Time Stamp: ("'ts4481'", "'ts4482'"), Annotation: porque  manllanima
  Tier Type: dt, Annotations Count: 201
    Time Stamp: ('',), Annotation: kay puestika ima shuti
    Time Stamp: ('',), Annotation: imata nin
    Time Stamp: ('5',), Annotation: cierto, chay imaku ima urku
    Time Stamp: ('5',), Annotation: kay Ilinizawan
    Time Stamp: ('7',), Annotation: pero Ilinisa urkuchu kan
    Time Stamp: ('7',), Annotation: oh . Quito urku
    Time Stamp: ('7',), Annotation: Pichinchachu kan
    Time Stamp: ('7',), Annotation: kay Ilinizamanta Quito rirurin
    Time Stamp: ('9',), Annotation: hawa wichayman
    Time Stamp: ('10',), Annotation: chay richun chay rumi hawaman o na
    Time Stamp: ('10',), Annotation: ima shina chay
    Time Stamp: ('10',), Annotation: tiempo cuentukuna nachu ashtawan yachankichik
    Time Stamp: ('10',), Annotation: peliashka
    Time Stamp: ('46',), Annotation: tukuyta
    Time Stamp: ('46',), Annotation: ima shuti nirkanki chayta
    Time Stamp: ('56',), Annotation: tal vez paseashunchi chay ñanta
    Time Stamp: ('58',), Annotation: pero Yuksi kan shina
    Time Stamp: ('92',), Annotation: imata ruran kaypi chay
    Time Stamp: ('288',), Annotation: ñuka ashalla parlachisha
    Time Stamp: ('288',), Annotation: ñuka ashalla rikuni
    Time Stamp: ('288',), Annotation: wawakunata
    Time Stamp: ('288',), Annotation: nachu chapakrinki
    Time Stamp: ('288',), Annotation: ya ya ñuka
    Time Stamp: ('288',), Annotation: ya ya ñukapa
    Time Stamp: ('288',), Annotation: parlasha
    Time Stamp: ('289',), Annotation: wawa cuidachun
    Time Stamp: ('289',), Annotation: mama mayman rishka tapunka
    Time Stamp: ('289',), Annotation: kaypi kanchik
    Time Stamp: ('289',), Annotation: kaypi kanchik
    Time Stamp: ('289',), Annotation: mama ña rinka
    Time Stamp: ('289',), Annotation: ñuka wawapash shina puñunayachin karupi
    Time Stamp: ('290',), Annotation: pero mana karuman rinchi
    Time Stamp: ('290',), Annotation: siempre laduman rikushpa
    Time Stamp: ('290',), Annotation: lobuchu kan
    Time Stamp: ('290',), Annotation: ima loboka imashina kan
    Time Stamp: ('290',), Annotation: hatunkunatapash
    Time Stamp: ('290',), Annotation: millaymi kashka
    Time Stamp: ('290',), Annotation: pero ima shina kan ashku
    Time Stamp: ('291',), Annotation: hatun allku shina
    Time Stamp: ('291',), Annotation: ima porte ima
    Time Stamp: ('291',), Annotation: shuk viaje ñuka tuparikani, Iliniza urkupi shukta
    Time Stamp: ('301',), Annotation: pero chayka chay refugio nishka
    Time Stamp: ('301',), Annotation: maypi turistakuna puñunata yachan
    Time Stamp: ('301',), Annotation: kimirina yachan mmm
    Time Stamp: ('301',), Annotation: mikunata maskankapa
    Time Stamp: ('301',), Annotation: porque gindikuna ña karana yachan payman
    Time Stamp: ('301',), Annotation: ña vivu tukushka ña kimirinlla
    Time Stamp: ('302',), Annotation: rikurkani pero uchilla kashka
    Time Stamp: ('302',), Annotation: mana ruku kashka
    Time Stamp: ('302',), Annotation: chay chawpi urku  chawpipi tiyan
    Time Stamp: ('302',), Annotation: shuk wasiku
    Time Stamp: ('302',), Annotation: ari, shuk yaku tiyan shuk kucha
    Time Stamp: ('303',), Annotation: chiri nachu
    Time Stamp: ('303',), Annotation: kunuk yakuma yaykurka
    Time Stamp: ('303',), Annotation: chayta ninki
    Time Stamp: ('303',), Annotation: ñuka nini
    Time Stamp: ('303',), Annotation: casi chawpi
    Time Stamp: ('303',), Annotation: urku chawpipi
    Time Stamp: ('303',), Annotation: maypi chay wasi tiyan
    Time Stamp: ('303',), Annotation: refugio nishka
    Time Stamp: ('303',), Annotation: chayka shuk   kucha tiyan
    Time Stamp: ('304',), Annotation: pero chirikan
    Time Stamp: ('304',), Annotation: pero na solo uyarkani chay
    Time Stamp: ('304',), Annotation: kunu yakumanta
