Speaker: Simeon
  Tier Type: po, Annotations Count: 1045
    Time Stamp: ("'ts1'", "'ts2'"), Annotation: bueno
    Time Stamp: ("'ts3'", "'ts4'"), Annotation: buenos dias
    Time Stamp: ("'ts5'", "'ts6'"), Annotation: eeeeee
    Time Stamp: ("'ts13'", "'ts14'"), Annotation: kausanimi
    Time Stamp: ("'ts17'", "'ts18'"), Annotation: ari, diusulpai
    Time Stamp: ("'ts20'", "'ts22'"), Annotation: disulpaigi
    Time Stamp: ("'ts23'", "'ts24'"), Annotation: ña
    Time Stamp: ("'ts27'", "'ts28'"), Annotation: kaypi kushijuni ña
    Time Stamp: ("'ts29'", "'ts30'"), Annotation: kikinta rigsishpa
    Time Stamp: ("'ts31'", "'ts32'"), Annotation: ña kallaringapa
    Time Stamp: ("'ts33'", "'ts34'"), Annotation: eeee
    Time Stamp: ("'ts35'", "'ts36'"), Annotation: kikimba shuti
    Time Stamp: ("'ts37'", "'ts38'"), Annotation: eeee
    Time Stamp: ("'ts39'", "'ts40'"), Annotation: villapay
    Time Stamp: ("'ts46'", "'ts48'"), Annotation: aja
    Time Stamp: ("'ts49'", "'ts50'"), Annotation: mashna guatata charingi
    Time Stamp: ("'ts53'", "'ts54'"), Annotation: eeeeeeee
    Time Stamp: ("'ts55'", "'ts56'"), Annotation: kaypi wiñarkangichu
    Time Stamp: ("'ts122'", "'ts124'"), Annotation: (............)
    Time Stamp: ("'ts126'", "'ts128'"), Annotation: ha ha
    Time Stamp: ("'ts133'", "'ts134'"), Annotation: mmm
    Time Stamp: ("'ts145'", "'ts146'"), Annotation: ha ya ya
    Time Stamp: ("'ts163'", "'ts165'"), Annotation: ari
    Time Stamp: ("'ts171'", "'ts174'"), Annotation: maypi guasita charirkangichi
    Time Stamp: ("'ts176'", "'ts179'"), Annotation: kay kay puestopi
    Time Stamp: ("'ts203'", "'ts204'"), Annotation: ari
    Time Stamp: ("'ts209'", "'ts211'"), Annotation: (asinakun)
    Time Stamp: ("'ts213'", "'ts214'"), Annotation: na, ñuka kausani centropi
    Time Stamp: ("'ts215'", "'ts216'"), Annotation: Santo Domingopi kausani
    Time Stamp: ("'ts217'", "'ts218'"), Annotation: Loma grande
    Time Stamp: ("'ts220'", "'ts222'"), Annotation: chaypi kausani
    Time Stamp: ("'ts226'", "'ts228'"), Annotation: ari, Loma Grandepi
    Time Stamp: ("'ts230'", "'ts233'"), Annotation: chaypi kausani
    Time Stamp: ("'ts235'", "'ts236'"), Annotation: guarmiuan
    Time Stamp: ("'ts238'", "'ts240'"), Annotation: ari ishka guaguaua
    Time Stamp: ("'ts243'", "'ts244'"), Annotation: chaypi kausanchi
    Time Stamp: ("'ts245'", "'ts246'"), Annotation: ari
    Time Stamp: ("'ts248'", "'ts250'"), Annotation: ñuka
    Time Stamp: ("'ts251'", "'ts252'"), Annotation: cuarentay unota
    Time Stamp: ("'ts256'", "'ts258'"), Annotation: joven
    Time Stamp: ("'ts260'", "'ts262'"), Annotation: chaupi chaupi
    Time Stamp: ("'ts265'", "'ts266'"), Annotation: (asin)
    Time Stamp: ("'ts267'", "'ts269'"), Annotation: ari, ari
