Speaker: Simeon
  Tier Type: po, Annotations Count: 2412
    Time Stamp: ("'ts123'", "'ts124'"), Annotation: noez
    Time Stamp: ("'ts125'", "'ts126'"), Annotation: na tiashka
    Time Stamp: ("'ts127'", "'ts128'"), Annotation: tocte
    Time Stamp: ("'ts131'", "'ts132'"), Annotation: aja
    Time Stamp: ("'ts133'", "'ts134'"), Annotation: ña
    Time Stamp: ("'ts135'", "'ts136'"), Annotation: oca
    Time Stamp: ("'ts138'", "'ts140'"), Annotation: uka
    Time Stamp: ("'ts143'", "'ts144'"), Annotation: hombre viejo
    Time Stamp: ("'ts151'", "'ts152'"), Annotation: mujer vieja
    Time Stamp: ("'ts157'", "'ts158'"), Annotation: eeeeeeeeeeeee
    Time Stamp: ("'ts159'", "'ts160'"), Annotation: ulluku
    Time Stamp: ("'ts165'", "'ts166'"), Annotation: mellucu
    Time Stamp: ("'ts167'", "'ts168'"), Annotation: y ulluku na nachu
    Time Stamp: ("'ts170'", "'ts172'"), Annotation: mellucu
    Time Stamp: ("'ts175'", "'ts176'"), Annotation: raposa
    Time Stamp: ("'ts179'", "'ts180'"), Annotation: buho
    Time Stamp: ("'ts185'", "'ts186'"), Annotation: dolor
    Time Stamp: ("'ts189'", "'ts190'"), Annotation: nany
    Time Stamp: ("'ts191'", "'ts192'"), Annotation: nany
    Time Stamp: ("'ts197'", "'ts199'"), Annotation: nanay o nani
    Time Stamp: ("'ts201'", "'ts202'"), Annotation: loro
    Time Stamp: ("'ts205'", "'ts206'"), Annotation: loro
    Time Stamp: ("'ts209'", "'ts210'"), Annotation: yerba pasto
    Time Stamp: ("'ts213'", "'ts214'"), Annotation: eeeeee
    Time Stamp: ("'ts215'", "'ts216'"), Annotation: pene
    Time Stamp: ("'ts220'", "'ts222'"), Annotation: pishku
    Time Stamp: ("'ts224'", "'ts226'"), Annotation: shugta nircachu
    Time Stamp: ("'ts233'", "'ts234'"), Annotation: ullu
    Time Stamp: ("'ts237'", "'ts238'"), Annotation: ullu
    Time Stamp: ("'ts241'", "'ts242'"), Annotation: zeta hache escribini
    Time Stamp: ("'ts243'", "'ts244'"), Annotation: doble ele churana yachan
    Time Stamp: ("'ts245'", "'ts246'"), Annotation: unificadopi
    Time Stamp: ("'ts247'", "'ts249'"), Annotation: pero ñuka llapingapa
    Time Stamp: ("'ts251'", "'ts252'"), Annotation: zeta hache churani
    Time Stamp: ("'ts253'", "'ts254'"), Annotation: ullu
    Time Stamp: ("'ts259'", "'ts262'"), Annotation: urpipash ña
    Time Stamp: ("'ts263'", "'ts264'"), Annotation: eeeee
    Time Stamp: ("'ts265'", "'ts266'"), Annotation: persona
    Time Stamp: ("'ts269'", "'ts270'"), Annotation: montòn
    Time Stamp: ("'ts275'", "'ts276'"), Annotation: muntun
    Time Stamp: ("'ts279'", "'ts280'"), Annotation: eeeee
    Time Stamp: ("'ts281'", "'ts282'"), Annotation: poste
    Time Stamp: ("'ts287'", "'ts289'"), Annotation: rumadero ninga
    Time Stamp: ("'ts290'", "'ts293'"), Annotation: ramadero
    Time Stamp: ("'ts297'", "'ts298'"), Annotation: almuhada
    Time Stamp: ("'ts305'", "'ts306'"), Annotation: mm j
    Time Stamp: ("'ts307'", "'ts310'"), Annotation: jarra jarra cashca
    Time Stamp: ("'ts313'", "'ts314'"), Annotation: biendura
    Time Stamp: ("'ts317'", "'ts318'"), Annotation: trenza
    Time Stamp: ("'ts323'", "'ts324'"), Annotation: shimba
    Time Stamp: ("'ts325'", "'ts326'"), Annotation: planta
    Time Stamp: ("'ts331'", "'ts332'"), Annotation: plato
    Time Stamp: ("'ts337'", "'ts338'"), Annotation: veneno
    Time Stamp: ("'ts339'", "'ts340'"), Annotation: vinino
    Time Stamp: ("'ts341'", "'ts342'"), Annotation: poste
    Time Stamp: ("'ts343'", "'ts344'"), Annotation: posti
    Time Stamp: ("'ts347'", "'ts348'"), Annotation: delfin mana tian
    Time Stamp: ("'ts351'", "'ts352'"), Annotation: papa
    Time Stamp: ("'ts353'", "'ts354'"), Annotation: papa
    Time Stamp: ("'ts357'", "'ts358'"), Annotation: eeeeeeeeeee
    Time Stamp: ("'ts359'", "'ts360'"), Annotation: eeeeeee
    Time Stamp: ("'ts361'", "'ts362'"), Annotation: bolsa
    Time Stamp: ("'ts367'", "'ts368'"), Annotation: aja
    Time Stamp: ("'ts369'", "'ts370'"), Annotation: puma puma
    Time Stamp: ("'ts373'", "'ts374'"), Annotation: calabaza
    Time Stamp: ("'ts375'", "'ts376'"), Annotation: sandia nachu
    Time Stamp: ("'ts378'", "'ts381'"), Annotation: sandia
    Time Stamp: ("'ts383'", "'ts384'"), Annotation: pus
    Time Stamp: ("'ts385'", "'ts386'"), Annotation: inguna  inkuna
    Time Stamp: ("'ts389'", "'ts390'"), Annotation: aja
    Time Stamp: ("'ts391'", "'ts392'"), Annotation: (ukun)
    Time Stamp: ("'ts393'", "'ts394'"), Annotation: akcha
    Time Stamp: ("'ts399'", "'ts400'"), Annotation: muchu
    Time Stamp: ("'ts401'", "'ts402'"), Annotation: akcha muchu
    Time Stamp: ("'ts403'", "'ts404'"), Annotation: quinua
    Time Stamp: ("'ts410'", "'ts412'"), Annotation: conejo
    Time Stamp: ("'ts415'", "'ts416'"), Annotation: eeeeee
    Time Stamp: ("'ts417'", "'ts418'"), Annotation: mapache o zorillo
    Time Stamp: ("'ts420'", "'ts422'"), Annotation: añas
    Time Stamp: ("'ts423'", "'ts424'"), Annotation: arcoiris
    Time Stamp: ("'ts426'", "'ts428'"), Annotation: (ukun)
    Time Stamp: ("'ts431'", "'ts432'"), Annotation: kuichi
    Time Stamp: ("'ts433'", "'ts434'"), Annotation: (ukun)
    Time Stamp: ("'ts435'", "'ts436'"), Annotation: trabajo comunitario
    Time Stamp: ("'ts439'", "'ts440'"), Annotation: caña silvestre
    Time Stamp: ("'ts445'", "'ts446'"), Annotation: sucus
    Time Stamp: ("'ts447'", "'ts448'"), Annotation: aaaa
    Time Stamp: ("'ts449'", "'ts450'"), Annotation: chay cinta umapi churana
    Time Stamp: ("'ts457'", "'ts458'"), Annotation: vincha
    Time Stamp: ("'ts459'", "'ts460'"), Annotation: rio o quebrada
    Time Stamp: ("'ts464'", "'ts466'"), Annotation: huaycu
    Time Stamp: ("'ts469'", "'ts470'"), Annotation: yacupash
    Time Stamp: ("'ts473'", "'ts474'"), Annotation: camino
    Time Stamp: ("'ts477'", "'ts478'"), Annotation: raiz
    Time Stamp: ("'ts481'", "'ts482'"), Annotation: ee
    Time Stamp: ("'ts483'", "'ts484'"), Annotation: cuerda
    Time Stamp: ("'ts487'", "'ts488'"), Annotation: sal
    Time Stamp: ("'ts491'", "'ts492'"), Annotation: ee
    Time Stamp: ("'ts493'", "'ts494'"), Annotation: arena
    Time Stamp: ("'ts498'", "'ts500'"), Annotation: tiu
    Time Stamp: ("'ts501'", "'ts502'"), Annotation: kaykuna
    Time Stamp: ("'ts503'", "'ts505'"), Annotation: natsica
    Time Stamp: ("'ts507'", "'ts508'"), Annotation: matsica
    Time Stamp: ("'ts509'", "'ts510'"), Annotation: eme guan
    Time Stamp: ("'ts513'", "'ts514'"), Annotation: oo, ya
    Time Stamp: ("'ts515'", "'ts516'"), Annotation: matsica
    Time Stamp: ("'ts519'", "'ts520'"), Annotation: illul
    Time Stamp: ("'ts523'", "'ts524'"), Annotation: illul
    Time Stamp: ("'ts525'", "'ts526'"), Annotation: ya
    Time Stamp: ("'ts527'", "'ts528'"), Annotation: grano de arena o
    Time Stamp: ("'ts532'", "'ts534'"), Annotation: muyu
    Time Stamp: ("'ts537'", "'ts538'"), Annotation: sandalia
    Time Stamp: ("'ts542'", "'ts544'"), Annotation: (asin)
    Time Stamp: ("'ts545'", "'ts546'"), Annotation: ya
    Time Stamp: ("'ts547'", "'ts548'"), Annotation: eeee
    Time Stamp: ("'ts549'", "'ts550'"), Annotation: mosquito
    Time Stamp: ("'ts555'", "'ts556'"), Annotation: arinilla
    Time Stamp: ("'ts557'", "'ts559'"), Annotation: alacran na tiashca
    Time Stamp: ("'ts560'", "'ts562'"), Annotation: semilia
    Time Stamp: ("'ts565'", "'ts566'"), Annotation: muyu pash
    Time Stamp: ("'ts567'", "'ts568'"), Annotation: planton
    Time Stamp: ("'ts571'", "'ts572'"), Annotation: mal, malquicashca
    Time Stamp: ("'ts575'", "'ts576'"), Annotation: malqui o palcapash
    Time Stamp: ("'ts581'", "'ts582'"), Annotation: sombra
    Time Stamp: ("'ts587'", "'ts588'"), Annotation: llantu
    Time Stamp: ("'ts589'", "'ts590'"), Annotation: verguenza
    Time Stamp: ("'ts597'", "'ts598'"), Annotation: ya
    Time Stamp: ("'ts599'", "'ts600'"), Annotation: cascara
    Time Stamp: ("'ts605'", "'ts606'"), Annotation: hombro
    Time Stamp: ("'ts609'", "'ts610'"), Annotation: filo lado
    Time Stamp: ("'ts615'", "'ts616'"), Annotation: piel
    Time Stamp: ("'ts619'", "'ts620'"), Annotation: eee chay
    Time Stamp: ("'ts621'", "'ts622'"), Annotation: shinaga guañuchingapa pishkuta
    Time Stamp: ("'ts623'", "'ts625'"), Annotation: catapulta
    Time Stamp: ("'ts627'", "'ts628'"), Annotation: humo
    Time Stamp: ("'ts630'", "'ts632'"), Annotation: kushni
    Time Stamp: ("'ts633'", "'ts634'"), Annotation: bocadillo
    Time Stamp: ("'ts639'", "'ts640'"), Annotation: shimi
    Time Stamp: ("'ts641'", "'ts642'"), Annotation: ee carmilla
    Time Stamp: ("'ts643'", "'ts644'"), Annotation: shimilla
    Time Stamp: ("'ts645'", "'ts646'"), Annotation: kuru caracol
    Time Stamp: ("'ts653'", "'ts654'"), Annotation: churu
    Time Stamp: ("'ts655'", "'ts656'"), Annotation: serpiente
    Time Stamp: ("'ts661'", "'ts662'"), Annotation: nieve
    Time Stamp: ("'ts667'", "'ts668'"), Annotation: razu
    Time Stamp: ("'ts669'", "'ts670'"), Annotation: tiera
    Time Stamp: ("'ts673'", "'ts674'"), Annotation: hijo
    Time Stamp: ("'ts677'", "'ts678'"), Annotation: cancion
    Time Stamp: ("'ts680'", "'ts684'"), Annotation: musicata churachina
    Time Stamp: ("'ts683'", "'ts686'"), Annotation: nachu
    Time Stamp: ("'ts687'", "'ts688'"), Annotation: yerno
    Time Stamp: ("'ts691'", "'ts692'"), Annotation: sopa
    Time Stamp: ("'ts695'", "'ts696'"), Annotation: y lugrupashmi
    Time Stamp: ("'ts698'", "'ts701'"), Annotation: lugru
    Time Stamp: ("'ts703'", "'ts704'"), Annotation: lanza na na tiashna
    Time Stamp: ("'ts705'", "'ts706'"), Annotation: araña
    Time Stamp: ("'ts707'", "'ts708'"), Annotation: karka
    Time Stamp: ("'ts711'", "'ts712'"), Annotation: ariana
    Time Stamp: ("'ts713'", "'ts714'"), Annotation: ariana tela
    Time Stamp: ("'ts717'", "'ts718'"), Annotation: cuchara
    Time Stamp: ("'ts725'", "'ts726'"), Annotation: y visha
    Time Stamp: ("'ts727'", "'ts728'"), Annotation: chay larkota
    Time Stamp: ("'ts729'", "'ts731'"), Annotation: ña tukuchisha
    Time Stamp: ("'ts733'", "'ts734'"), Annotation: eee
    Time Stamp: ("'ts735'", "'ts736'"), Annotation: pozo
    Time Stamp: ("'ts741'", "'ts743'"), Annotation: otuko
    Time Stamp: ("'ts744'", "'ts746'"), Annotation: y pugyu
    Time Stamp: ("'ts751'", "'ts752'"), Annotation: eeee
    Time Stamp: ("'ts753'", "'ts754'"), Annotation: estrella
    Time Stamp: ("'ts759'", "'ts760'"), Annotation: luzero
    Time Stamp: ("'ts761'", "'ts762'"), Annotation: punchig
    Time Stamp: ("'ts763'", "'ts765'"), Annotation: luzero
    Time Stamp: ("'ts767'", "'ts768'"), Annotation: venuz nachu
    Time Stamp: ("'ts773'", "'ts774'"), Annotation: eeee
    Time Stamp: ("'ts775'", "'ts776'"), Annotation: (asin)
    Time Stamp: ("'ts777'", "'ts778'"), Annotation: baston
    Time Stamp: ("'ts783'", "'ts784'"), Annotation: taugna
    Time Stamp: ("'ts785'", "'ts786'"), Annotation: piedra
    Time Stamp: ("'ts789'", "'ts790'"), Annotation: paja
    Time Stamp: ("'ts793'", "'ts794'"), Annotation: fuerza nircanchi como de correr
    Time Stamp: ("'ts798'", "'ts801'"), Annotation: kalpanachu
    Time Stamp: ("'ts804'", "'ts807'"), Annotation: fuerza
    Time Stamp: ("'ts808'", "'ts810'"), Annotation: fuerza
    Time Stamp: ("'ts811'", "'ts812'"), Annotation: sol
    Time Stamp: ("'ts815'", "'ts816'"), Annotation: cola
    Time Stamp: ("'ts819'", "'ts820'"), Annotation: eee
    Time Stamp: ("'ts821'", "'ts822'"), Annotation: kapir
    Time Stamp: ("'ts825'", "'ts826'"), Annotation: lagrima
    Time Stamp: ("'ts831'", "'ts832'"), Annotation: vena
    Time Stamp: ("'ts835'", "'ts836'"), Annotation: teraza
    Time Stamp: ("'ts839'", "'ts840'"), Annotation: pata
    Time Stamp: ("'ts841'", "'ts842'"), Annotation: testiculo
    Time Stamp: ("'ts846'", "'ts848'"), Annotation: lulu
    Time Stamp: ("'ts849'", "'ts850'"), Annotation: hilo
    Time Stamp: ("'ts857'", "'ts858'"), Annotation: puchica nachu
    Time Stamp: ("'ts861'", "'ts862'"), Annotation: kayka
    Time Stamp: ("'ts863'", "'ts864'"), Annotation: kaytu mana tiashka
    Time Stamp: ("'ts867'", "'ts868'"), Annotation: garganta
    Time Stamp: ("'ts872'", "'ts874'"), Annotation: trueno
    Time Stamp: ("'ts881'", "'ts882'"), Annotation: culun
    Time Stamp: ("'ts885'", "'ts886'"), Annotation: culu
    Time Stamp: ("'ts887'", "'ts888'"), Annotation: o culun
    Time Stamp: ("'ts891'", "'ts892'"), Annotation: culun
    Time Stamp: ("'ts895'", "'ts896'"), Annotation: asi no es conociento
    Time Stamp: ("'ts897'", "'ts898'"), Annotation: culun
    Time Stamp: ("'ts901'", "'ts902'"), Annotation: ya
    Time Stamp: ("'ts903'", "'ts904'"), Annotation: garrapatas, garrapata nircanchi
    Time Stamp: ("'ts907'", "'ts908'"), Annotation: tiempo
    Time Stamp: ("'ts909'", "'ts910'"), Annotation: eeee
    Time Stamp: ("'ts911'", "'ts913'"), Annotation: shug vije
    Time Stamp: ("'ts914'", "'ts916'"), Annotation: kutin a veces
    Time Stamp: ("'ts917'", "'ts918'"), Annotation: mas shug viji
    Time Stamp: ("'ts919'", "'ts920'"), Annotation: sapo
    Time Stamp: ("'ts925'", "'ts926'"), Annotation: maiz tostado
    Time Stamp: ("'ts931'", "'ts932'"), Annotation: harina tostado
    Time Stamp: ("'ts937'", "'ts938'"), Annotation: bandeja para tostar
    Time Stamp: ("'ts943'", "'ts944'"), Annotation: callana
    Time Stamp: ("'ts945'", "'ts946'"), Annotation: kaypi churana kani lla
    Time Stamp: ("'ts947'", "'ts949'"), Annotation: tabaco tabaco nachu
    Time Stamp: ("'ts953'", "'ts954'"), Annotation: lengua
    Time Stamp: ("'ts959'", "'ts960'"), Annotation: jallu
    Time Stamp: ("'ts961'", "'ts962'"), Annotation: diente
    Time Stamp: ("'ts965'", "'ts966'"), Annotation: tucan, tucan nachu
    Time Stamp: ("'ts969'", "'ts970'"), Annotation: nachu yaririgi
    Time Stamp: ("'ts971'", "'ts972'"), Annotation: shug tuta
    Time Stamp: ("'ts974'", "'ts976'"), Annotation: (........................)
    Time Stamp: ("'ts977'", "'ts978'"), Annotation: comunidad
    Time Stamp: ("'ts979'", "'ts981'"), Annotation: llagta nircangichu
    Time Stamp: ("'ts982'", "'ts984'"), Annotation: na yapa marcani nachu
    Time Stamp: ("'ts986'", "'ts988'"), Annotation: aja
    Time Stamp: ("'ts990'", "'ts992'"), Annotation: are
    Time Stamp: ("'ts993'", "'ts994'"), Annotation: chay trampa, animalpa trampa cuerrdaguan
    Time Stamp: ("'ts1001'", "'ts1002'"), Annotation: tuglla
    Time Stamp: ("'ts1005'", "'ts1006'"), Annotation: eeeeeeeeeee
    Time Stamp: ("'ts1007'", "'ts1008'"), Annotation: tug .... aaa
    Time Stamp: ("'ts1009'", "'ts1010'"), Annotation: sangre de arbol
    Time Stamp: ("'ts1013'", "'ts1014'"), Annotation: mmm j
    Time Stamp: ("'ts1015'", "'ts1016'"), Annotation: kishua nircanchi
    Time Stamp: ("'ts1019'", "'ts1020'"), Annotation: kijuar
    Time Stamp: ("'ts1021'", "'ts1022'"), Annotation: tronco
    Time Stamp: ("'ts1023'", "'ts1024'"), Annotation: putu nachu
    Time Stamp: ("'ts1029'", "'ts1030'"), Annotation: y cullu na u jullu kaypi mana tian
    Time Stamp: ("'ts1033'", "'ts1034'"), Annotation: eeeeeeeee-mm
    Time Stamp: ("'ts1035'", "'ts1036'"), Annotation: mashua, mashua
    Time Stamp: ("'ts1037'", "'ts1038'"), Annotation: machua
    Time Stamp: ("'ts1039'", "'ts1041'"), Annotation: chamba, chamba
    Time Stamp: ("'ts1043'", "'ts1045'"), Annotation: mashku
    Time Stamp: ("'ts1049'", "'ts1050'"), Annotation: mashuku
    Time Stamp: ("'ts1052'", "'ts1054'"), Annotation: aya
    Time Stamp: ("'ts1055'", "'ts1056'"), Annotation: mashuku o
    Time Stamp: ("'ts1058'", "'ts1060'"), Annotation: chishi
    Time Stamp: ("'ts1061'", "'ts1062'"), Annotation: mashua
    Time Stamp: ("'ts1063'", "'ts1064'"), Annotation: mashùa o mashua
    Time Stamp: ("'ts1067'", "'ts1069'"), Annotation: mash tiene una u chiquita
    Time Stamp: ("'ts1071'", "'ts1073'"), Annotation: mashùa
    Time Stamp: ("'ts1075'", "'ts1076'"), Annotation: mashua como quinua
    Time Stamp: ("'ts1079'", "'ts1080'"), Annotation: aja
    Time Stamp: ("'ts1081'", "'ts1082'"), Annotation: no es quinua
    Time Stamp: ("'ts1083'", "'ts1084'"), Annotation: pero tampoco es quinua
    Time Stamp: ("'ts1085'", "'ts1086'"), Annotation: es como quinua
    Time Stamp: ("'ts1087'", "'ts1088'"), Annotation: quinua
    Time Stamp: ("'ts1089'", "'ts1090'"), Annotation: es difil aveces
    Time Stamp: ("'ts1091'", "'ts1092'"), Annotation: aveces quiero escriirla asi
    Time Stamp: ("'ts1093'", "'ts1094'"), Annotation: a veces asi
    Time Stamp: ("'ts1097'", "'ts1098'"), Annotation: mmm j
    Time Stamp: ("'ts1099'", "'ts1100'"), Annotation: chamba
    Time Stamp: ("'ts1102'", "'ts1104'"), Annotation: shina
    Time Stamp: ("'ts1105'", "'ts1106'"), Annotation: aja
    Time Stamp: ("'ts1107'", "'ts1108'"), Annotation: kayta nirkanchi mana tian
    Time Stamp: ("'ts1109'", "'ts1110'"), Annotation: mana tian, mana tian
    Time Stamp: ("'ts1111'", "'ts1112'"), Annotation: hastaaaaaaaaaaa
    Time Stamp: ("'ts1113'", "'ts1114'"), Annotation: guallua nachu
    Time Stamp: ("'ts1115'", "'ts1116'"), Annotation: guallua
    Time Stamp: ("'ts1117'", "'ts1118'"), Annotation: planta
    Time Stamp: ("'ts1121'", "'ts1122'"), Annotation: guallu
    Time Stamp: ("'ts1123'", "'ts1124'"), Annotation: urpu mana tian
    Time Stamp: ("'ts1127'", "'ts1130'"), Annotation: minga ya nircanchi
    Time Stamp: ("'ts1131'", "'ts1132'"), Annotation: eeeeeee
    Time Stamp: ("'ts1133'", "'ts1134'"), Annotation: lliglla na tiashka kaypi
    Time Stamp: ("'ts1137'", "'ts1138'"), Annotation: nachu
    Time Stamp: ("'ts1139'", "'ts1140'"), Annotation: baita
    Time Stamp: ("'ts1143'", "'ts1144'"), Annotation: guarmipa churakun
    Time Stamp: ("'ts1147'", "'ts1148'"), Annotation: eeeeeee
    Time Stamp: ("'ts1149'", "'ts1150'"), Annotation: familia
    Time Stamp: ("'ts1152'", "'ts1154'"), Annotation: ayllu
    Time Stamp: ("'ts1157'", "'ts1158'"), Annotation: eeee
    Time Stamp: ("'ts1159'", "'ts1160'"), Annotation: brazo arriba, ña nirkanchi
    Time Stamp: ("'ts1162'", "'ts1164'"), Annotation: rrigra
    Time Stamp: ("'ts1165'", "'ts1166'"), Annotation: vagina nirkanchi
    Time Stamp: ("'ts1170'", "'ts1172'"), Annotation: rraka
    Time Stamp: ("'ts1173'", "'ts1174'"), Annotation: valor
    Time Stamp: ("'ts1178'", "'ts1180'"), Annotation: tupu nircangi
    Time Stamp: ("'ts1185'", "'ts1186'"), Annotation: ya
    Time Stamp: ("'ts1187'", "'ts1188'"), Annotation: una oya
    Time Stamp: ("'ts1191'", "'ts1192'"), Annotation: manga
    Time Stamp: ("'ts1193'", "'ts1194'"), Annotation: vicuña na tiashka
    Time Stamp: ("'ts1195'", "'ts1196'"), Annotation: gayinaso
    Time Stamp: ("'ts1205'", "'ts1206'"), Annotation: ullaguanga
    Time Stamp: ("'ts1207'", "'ts1208'"), Annotation: ullaguanga como
    Time Stamp: ("'ts1209'", "'ts1210'"), Annotation: a na
    Time Stamp: ("'ts1211'", "'ts1212'"), Annotation: como
    Time Stamp: ("'ts1213'", "'ts1214'"), Annotation: imata kan ullamanga
    Time Stamp: ("'ts1215'", "'ts1216'"), Annotation: (asin)
    Time Stamp: ("'ts1217'", "'ts1218'"), Annotation: a anga
    Time Stamp: ("'ts1221'", "'ts1223'"), Annotation: ullaguan anga
    Time Stamp: ("'ts1226'", "'ts1228'"), Annotation: ulla
    Time Stamp: ("'ts1229'", "'ts1230'"), Annotation: ya
    Time Stamp: ("'ts1231'", "'ts1232'"), Annotation: pared
    Time Stamp: ("'ts1235'", "'ts1236'"), Annotation: de Oriente
    Time Stamp: ("'ts1237'", "'ts1238'"), Annotation: Tiera baja
    Time Stamp: ("'ts1240'", "'ts1242'"), Annotation: yunga
    Time Stamp: ("'ts1243'", "'ts1245'"), Annotation: verruga na tiashcachu
    Time Stamp: ("'ts1247'", "'ts1248'"), Annotation: avispa
    Time Stamp: ("'ts1249'", "'ts1252'"), Annotation: mishki chuspi
    Time Stamp: ("'ts1253'", "'ts1254'"), Annotation: agua
    Time Stamp: ("'ts1257'", "'ts1258'"), Annotation: cascada
    Time Stamp: ("'ts1261'", "'ts1262'"), Annotation: cha
    Time Stamp: ("'ts1263'", "'ts1264'"), Annotation: kayka illagua
    Time Stamp: ("'ts1265'", "'ts1266'"), Annotation: guallua tiashka
    Time Stamp: ("'ts1269'", "'ts1270'"), Annotation: guallua
    Time Stamp: ("'ts1273'", "'ts1275'"), Annotation: aja
    Time Stamp: ("'ts1277'", "'ts1278'"), Annotation: piruru
    Time Stamp: ("'ts1283'", "'ts1284'"), Annotation: guayra
    Time Stamp: ("'ts1287'", "'ts1288'"), Annotation: ya
    Time Stamp: ("'ts1289'", "'ts1290'"), Annotation: katingapa
    Time Stamp: ("'ts1293'", "'ts1294'"), Annotation: oo aa
    Time Stamp: ("'ts1295'", "'ts1296'"), Annotation: hoja alas
    Time Stamp: ("'ts1299'", "'ts1300'"), Annotation: alas mismo
    Time Stamp: ("'ts1301'", "'ts1303'"), Annotation: pishkupa alas
    Time Stamp: ("'ts1305'", "'ts1306'"), Annotation: (ukun)
    Time Stamp: ("'ts1307'", "'ts1308'"), Annotation: ukun
    Time Stamp: ("'ts1309'", "'ts1310'"), Annotation: y raca natiashka
    Time Stamp: ("'ts1311'", "'ts1312'"), Annotation: nachu
    Time Stamp: ("'ts1315'", "'ts1316'"), Annotation: ja
    Time Stamp: ("'ts1320'", "'ts1322'"), Annotation: grapa na tian
    Time Stamp: ("'ts1323'", "'ts1324'"), Annotation: ya okey
    Time Stamp: ("'ts1325'", "'ts1326'"), Annotation: shina velocidad katishun
    Time Stamp: ("'ts1327'", "'ts1328'"), Annotation: (ukun)
    Time Stamp: ("'ts1329'", "'ts1330'"), Annotation: bruja tianllu caypi nin
    Time Stamp: ("'ts1331'", "'ts1332'"), Annotation: layca
    Time Stamp: ("'ts1336'", "'ts1338'"), Annotation: yachag
    Time Stamp: ("'ts1340'", "'ts1342'"), Annotation: guarmi yachag
    Time Stamp: ("'ts1343'", "'ts1344'"), Annotation: yag
    Time Stamp: ("'ts1345'", "'ts1346'"), Annotation: chag
    Time Stamp: ("'ts1347'", "'ts1349'"), Annotation: yachig
    Time Stamp: ("'ts1351'", "'ts1354'"), Annotation: yachig, yachig
    Time Stamp: ("'ts1355'", "'ts1356'"), Annotation: esposa
    Time Stamp: ("'ts1359'", "'ts1361'"), Annotation: guarmi nachu
    Time Stamp: ("'ts1365'", "'ts1366'"), Annotation: eeeeeeee
    Time Stamp: ("'ts1369'", "'ts1370'"), Annotation: anaku tian
    Time Stamp: ("'ts1371'", "'ts1372'"), Annotation: eeeeeeeeeee
    Time Stamp: ("'ts1373'", "'ts1374'"), Annotation: kay dice
    Time Stamp: ("'ts1375'", "'ts1376'"), Annotation: plato tason de madera
    Time Stamp: ("'ts1377'", "'ts1378'"), Annotation: fuku nin
    Time Stamp: ("'ts1382'", "'ts1384'"), Annotation: nirkachu kaypi
