Speaker: Simeón 
  Tier Type: po, Annotations Count: 680
    Time Stamp: ('ts1', 'ts2'), Annotation: kunan ya 
    Time Stamp: ('ts3', 'ts4'), Annotation: shug quince minutos 
    Time Stamp: ('ts5', 'ts6'), Annotation: parlashun 
    Time Stamp: ('ts7', 'ts8'), Annotation: shina 
    Time Stamp: ('ts9', 'ts10'), Annotation: ñuka tapushpa 
    Time Stamp: ('ts11', 'ts12'), Annotation: pero 
    Time Stamp: ('ts13', 'ts14'), Annotation: tagshapaylla
    Time Stamp: ('ts15', 'ts16'), Annotation: parlashpa 
    Time Stamp: ('ts17', 'ts18'), Annotation: tagshangi 
    Time Stamp: ('ts19', 'ts20'), Annotation: nachu 
    Time Stamp: ('ts26', 'ts28'), Annotation: ya 
    Time Stamp: ('ts29', 'ts30'), Annotation: he 
    Time Stamp: ('ts31', 'ts32'), Annotation: caypi 
    Time Stamp: ('ts33', 'ts34'), Annotation: ima shuti capangi mama 
    Time Stamp: ('ts47', 'ts48'), Annotation: ha 
    Time Stamp: ('ts51', 'ts52'), Annotation: ya 
    Time Stamp: ('ts53', 'ts54'), Annotation: yyyy
    Time Stamp: ('ts55', 'ts56'), Annotation: kay 
    Time Stamp: ('ts57', 'ts58'), Annotation: sectorka 
    Time Stamp: ('ts59', 'ts60'), Annotation: ima shuti 
    Time Stamp: ('ts65', 'ts66'), Annotation: haaaaaa
    Time Stamp: ('ts67', 'ts68'), Annotation: Pingulmikaaa
    Time Stamp: ('ts69', 'ts70'), Annotation: ima 
    Time Stamp: ('ts71', 'ts72'), Annotation: significado charingacha 
    Time Stamp: ('ts79', 'ts80'), Annotation: naaaa
    Time Stamp: ('ts81', 'ts84'), Annotation: na yacharinllu 
    Time Stamp: ('ts88', 'ts90'), Annotation: (asin)
    Time Stamp: ('ts91', 'ts92'), Annotation: cierto 
    Time Stamp: ('ts93', 'ts94'), Annotation: chaypiiiiiii
    Time Stamp: ('ts95', 'ts96'), Annotation: kay sector 
    Time Stamp: ('ts97', 'ts98'), Annotation: ima 
    Time Stamp: ('ts99', 'ts100'), Annotation: kutin shug llagtakuna tianllu 
    Time Stamp: ('ts117', 'ts118'), Annotation: cierto 
    Time Stamp: ('ts120', 'ts123'), Annotation: tukuy Pingulmichukan 
    Time Stamp: ('ts133', 'ts135'), Annotation: ari 
    Time Stamp: ('ts137', 'ts138'), Annotation: yaaaa
    Time Stamp: ('ts141', 'ts142'), Annotation: mm j
    Time Stamp: ('ts143', 'ts144'), Annotation: nachu 
    Time Stamp: ('ts145', 'ts146'), Annotation: nachu 
    Time Stamp: ('ts147', 'ts148'), Annotation: ashalla cuentayta 
    Time Stamp: ('ts149', 'ts150'), Annotation: haaaa
    Time Stamp: ('ts151', 'ts152'), Annotation: pudingi 
    Time Stamp: ('ts153', 'ts154'), Annotation: kay churumanta 
    Time Stamp: ('ts155', 'ts156'), Annotation: maypi 
    Time Stamp: ('ts157', 'ts158'), Annotation: maypi japingi 
    Time Stamp: ('ts159', 'ts160'), Annotation: maypi 
    Time Stamp: ('ts161', 'ts162'), Annotation: imashina yanungi 
    Time Stamp: ('ts163', 'ts164'), Annotation: guayku
    Time Stamp: ('ts165', 'ts167'), Annotation: guaykupi nirkangi 
    Time Stamp: ('ts168', 'ts169'), Annotation: maypi 
    Time Stamp: ('ts185', 'ts186'), Annotation: ari 
    Time Stamp: ('ts197', 'ts198'), Annotation: may maypi taririn 
    Time Stamp: ('ts201', 'ts202'), Annotation: fangakunapi 
    Time Stamp: ('ts203', 'ts204'), Annotation: o caspi 
    Time Stamp: ('ts205', 'ts206'), Annotation: o maypi 
    Time Stamp: ('ts209', 'ts210'), Annotation: shina 
    Time Stamp: ('ts213', 'ts214'), Annotation: haaaaa
    Time Stamp: ('ts229', 'ts230'), Annotation: cierto 
    Time Stamp: ('ts233', 'ts234'), Annotation: y chaypika 
    Time Stamp: ('ts235', 'ts236'), Annotation: japigpi
    Time Stamp: ('ts237', 'ts238'), Annotation: japishpa 
    Time Stamp: ('ts239', 'ts240'), Annotation: guasiman apangi 
    Time Stamp: ('ts241', 'ts242'), Annotation: y chaypika 
    Time Stamp: ('ts244', 'ts246'), Annotation: yanungapa 
    Time Stamp: ('ts247', 'ts248'), Annotation: pero kausajunra nachu 
    Time Stamp: ('ts250', 'ts252'), Annotation: kausan
    Time Stamp: ('ts255', 'ts257'), Annotation: cierto 
    Time Stamp: ('ts259', 'ts260'), Annotation: ari
    Time Stamp: ('ts263', 'ts264'), Annotation: yanushpaka 
    Time Stamp: ('ts265', 'ts266'), Annotation: imashina yanungi 
    Time Stamp: ('ts289', 'ts290'), Annotation: ña
    Time Stamp: ('ts291', 'ts292'), Annotation: chiri yakuan 
    Time Stamp: ('ts311', 'ts312'), Annotation: ha 
    Time Stamp: ('ts313', 'ts314'), Annotation: kunug yakumanta chiriyakuman 
    Time Stamp: ('ts317', 'ts318'), Annotation: haaa
    Time Stamp: ('ts319', 'ts320'), Annotation: yanushpa 
    Time Stamp: ('ts321', 'ts322'), Annotation: chiri, chiri yakuman 
    Time Stamp: ('ts323', 'ts325'), Annotation: chaypi llugshinlla
    Time Stamp: ('ts331', 'ts333'), Annotation: jalluakuna
    Time Stamp: ('ts338', 'ts340'), Annotation: haaaaaaa
    Time Stamp: ('ts345', 'ts346'), Annotation: cierto 
    Time Stamp: ('ts349', 'ts351'), Annotation: culebra tianllu kay guayku
    Time Stamp: ('ts365', 'ts367'), Annotation: ari
    Time Stamp: ('ts408', 'ts410'), Annotation: ahhhhh
    Time Stamp: ('ts447', 'ts448'), Annotation: cierto 
    Time Stamp: ('ts455', 'ts456'), Annotation: mmmmm
    Time Stamp: ('ts467', 'ts468'), Annotation: mmm
    Time Stamp: ('ts473', 'ts474'), Annotation: mm j 
    Time Stamp: ('ts479', 'ts480'), Annotation: cierto 
    Time Stamp: ('ts481', 'ts482'), Annotation: chay culebra 
    Time Stamp: ('ts483', 'ts485'), Annotation: shina nirkachu 
    Time Stamp: ('ts493', 'ts494'), Annotation: cierto 
    Time Stamp: ('ts499', 'ts500'), Annotation: cierto 
    Time Stamp: ('ts511', 'ts512'), Annotation: ari, ari 
    Time Stamp: ('ts513', 'ts514'), Annotation: (asin)
    Time Stamp: ('ts517', 'ts520'), Annotation: shimi charishka 
    Time Stamp: ('ts533', 'ts535'), Annotation: ari
    Time Stamp: ('ts619', 'ts620'), Annotation: ha ja 
    Time Stamp: ('ts623', 'ts624'), Annotation: ari
    Time Stamp: ('ts628', 'ts630'), Annotation: y chaypi 
    Time Stamp: ('ts631', 'ts632'), Annotation: culebra illashka 
    Time Stamp: ('ts635', 'ts636'), Annotation: cierrto mi 
    Time Stamp: ('ts637', 'ts638'), Annotation: canga 
    Time Stamp: ('ts639', 'ts640'), Annotation: haaaa
    Time Stamp: ('ts657', 'ts658'), Annotation: mmmmm
    Time Stamp: ('ts661', 'ts663'), Annotation: ha ya ya
    Time Stamp: ('ts669', 'ts670'), Annotation: gentekunata 
    Time Stamp: ('ts671', 'ts672'), Annotation: shina
    Time Stamp: ('ts673', 'ts674'), Annotation: molestanllu
    Time Stamp: ('ts677', 'ts678'), Annotation: na
    Time Stamp: ('ts680', 'ts682'), Annotation: yaya
    Time Stamp: ('ts693', 'ts694'), Annotation: ari
    Time Stamp: ('ts695', 'ts696'), Annotation: sumag 
    Time Stamp: ('ts697', 'ts698'), Annotation: y kay guayku
    Time Stamp: ('ts699', 'ts700'), Annotation: jatun huayku tian 
    Time Stamp: ('ts701', 'ts703'), Annotation: nachu 
    Time Stamp: ('ts704', 'ts705'), Annotation: jatun, jatun
    Time Stamp: ('ts735', 'ts736'), Annotation: ari
    Time Stamp: ('ts737', 'ts739'), Annotation: chaypi 
    Time Stamp: ('ts743', 'ts744'), Annotation: yakukaman 
    Time Stamp: ('ts745', 'ts749'), Annotation: yakumanllu
    Time Stamp: ('ts750', 'ts753'), Annotation: uku uku
    Time Stamp: ('ts757', 'ts758'), Annotation: ña 
    Time Stamp: ('ts760', 'ts762'), Annotation: ima 
    Time Stamp: ('ts763', 'ts764'), Annotation: shutita charinchu chay guayku
    Time Stamp: ('ts769', 'ts771'), Annotation: cundur guachi 
    Time Stamp: ('ts775', 'ts776'), Annotation: ari
    Time Stamp: ('ts777', 'ts778'), Annotation: yakuka ukupi 
