Speaker: SIMEON A
  Tier Type: po, Annotations Count: 720
    Time Stamp: ('ts1', 'ts2'), Annotation: Yaaaa
    Time Stamp: ('ts3', 'ts4'), Annotation: entonces
    Time Stamp: ('ts5', 'ts6'), Annotation: may 
    Time Stamp: ('ts7', 'ts8'), Annotation: kunan punllaaaa
    Time Stamp: ('ts9', 'ts10'), Annotation: eeee
    Time Stamp: ('ts11', 'ts12'), Annotation: kikan 
    Time Stamp: ('ts13', 'ts14'), Annotation: eeee
    Time Stamp: ('ts15', 'ts16'), Annotation: kaypikaaaaa
    Time Stamp: ('ts17', 'ts18'), Annotation: eeeeeeee
    Time Stamp: ('ts19', 'ts20'), Annotation: Santa Anita 
    Time Stamp: ('ts21', 'ts22'), Annotation: uno 
    Time Stamp: ('ts23', 'ts24'), Annotation: kayka 
    Time Stamp: ('ts25', 'ts30'), Annotation: nachu 
    Time Stamp: ('ts35', 'ts36'), Annotation: ima 
    Time Stamp: ('ts37', 'ts38'), Annotation: barriokuna 
    Time Stamp: ('ts39', 'ts40'), Annotation: ima 
    Time Stamp: ('ts41', 'ts42'), Annotation: llaktakuna 
    Time Stamp: ('ts43', 'ts44'), Annotation: tian 
    Time Stamp: ('ts45', 'ts46'), Annotation: kaypi 
    Time Stamp: ('ts60', 'ts62'), Annotation: entero 
    Time Stamp: ('ts92', 'ts94'), Annotation: chayma 
    Time Stamp: ('ts155', 'ts156'), Annotation: kay 
    Time Stamp: ('ts157', 'ts159'), Annotation: pambabi 
    Time Stamp: ('ts169', 'ts171'), Annotation: kikingunaba 
    Time Stamp: ('ts174', 'ts176'), Annotation: abuelokuna 
    Time Stamp: ('ts177', 'ts178'), Annotation: shina 
    Time Stamp: ('ts179', 'ts180'), Annotation: kaymantami 
    Time Stamp: ('ts223', 'ts224'), Annotation: maypi 
    Time Stamp: ('ts250', 'ts253'), Annotation: guayku ladubi 
    Time Stamp: ('ts255', 'ts256'), Annotation: ima shuti
    Time Stamp: ('ts257', 'ts258'), Annotation: chayga 
    Time Stamp: ('ts259', 'ts261'), Annotation: Santa Anitapash 
    Time Stamp: ('ts279', 'ts280'), Annotation: Tushumbi 
    Time Stamp: ('ts293', 'ts294'), Annotation: yaaa
    Time Stamp: ('ts302', 'ts305'), Annotation: antes 
    Time Stamp: ('ts306', 'ts310'), Annotation: Tushumbikarka
    Time Stamp: ('ts311', 'ts312'), Annotation: kaypi 
    Time Stamp: ('ts329', 'ts330'), Annotation: aja
    Time Stamp: ('ts341', 'ts342'), Annotation: ima
    Time Stamp: ('ts343', 'ts344'), Annotation: imati kan 
    Time Stamp: ('ts345', 'ts346'), Annotation: Tushumbi
    Time Stamp: ('ts350', 'ts352'), Annotation: shimi 
    Time Stamp: ('ts395', 'ts396'), Annotation: ari
    Time Stamp: ('ts403', 'ts404'), Annotation: yaaa
    Time Stamp: ('ts413', 'ts414'), Annotation: ari
    Time Stamp: ('ts479', 'ts480'), Annotation: (................)
